Month,Day,Time,load,Solar,Wind,Stored,BattIn,BattOut
10,282,12,23.41008808659344,293.59327611941603,0.7898000000000001,3.3075127294055653,0.0,0.0
10,282,13,23.275494545345822,257.67498584055676,0.1650000000000004,3.3075127294055657,0.0,0.0
10,282,14,23.161626140391466,199.1543206866475,0.30579999999999957,3.3075127294055653,140.47771336375217,0.0
10,282,15,23.304704683467705,123.57276042614937,0.9636000000000005,143.78522609315772,101.23165574268167,0.0
10,282,16,23.77123597045162,39.49991070111159,1.0317999999999998,245.0168818358394,16.760474730659972,0.0
10,282,17,25.111674507920196,0.0,1.1461999999999999,261.77735656649935,0.0,25.617824166670438
10,282,18,25.357499871633053,0.0,2.3728000000000002,236.15953239982892,0.0,24.569427976090918
10,282,19,24.368206183851814,0.0,2.9506000000000006,211.59010442373804,0.0,22.894287743294296
10,282,20,22.64477607608489,0.0,2.1934,188.69581668044373,0.0,21.861438884109987
10,282,21,20.313653652795356,0.0,1.3947999999999998,166.83437779633374,0.0,20.2232535037898
10,282,22,18.276646000989103,0.0,2.1186000000000003,146.61112429254396,0.0,17.27209620629514
10,282,23,17.67023202849152,0.0,1.7358000000000005,129.33902808624882,0.0,17.033064701754697
10,283,0,16.96995571938126,0.0,0.4334000000000002,112.30596338449413,0.0,17.67670306721674
10,283,1,16.96163051043077,0.0,0.7898000000000001,94.62926031727739,0.0,17.286831117510175
10,283,2,16.891880919127686,0.0,1.012,77.34242919976724,0.0,16.974752452301104
10,283,3,17.255154048264977,0.0,1.6081999999999999,60.367676747466135,0.0,16.725765952180627
10,283,4,18.881845547612915,0.0,1.2606,43.64191079528551,0.0,18.836179099532778
10,283,5,20.865706088153633,0.0,0.7898000000000001,24.80573169575273,0.0,21.46008133421019
10,283,6,22.628077720320466,33.9756328344473,0.0,3.3456503615425435,0.0,0.0
10,283,7,23.128804683223873,94.51730394850753,0.09239999999999961,3.345650361542543,0.0,0.0
10,283,8,23.416192174537947,186.54389563996799,0.6886000000000004,3.345650361542543,0.0,0.0
10,283,9,23.729993428606658,216.00134973193738,0.0,3.345650361542543,0.0,0.0
10,283,10,23.859984934964178,210.50418314200024,0.0,3.345650361542543,0.0,0.0
10,283,11,23.737503693878697,219.80707052799679,0.0,3.3456503615425435,0.0,0.0
10,283,12,23.80370588328733,249.93333860175832,0.0,3.345650361542543,0.0,0.0
10,283,13,23.624322398300293,194.5328962296749,0.0,3.345650361542544,76.18204054979512,0.0
10,283,14,23.505164849079886,143.0681011166468,0.6094000000000004,79.52769091133766,120.1723362675669,0.0
10,283,15,23.6860184285457,82.25999677964823,1.7775999999999998,199.70002717890458,60.35157835110254,0.0
10,283,16,24.174105774789147,33.20394245675025,0.0,260.0516055300071,9.029836681961097,0.0
10,283,17,25.43273035865594,0.0,1.5158000000000003,269.08144221196824,0.0,25.565933039717734
10,283,18,25.591644375954715,0.0,3.163900000000001,243.51550917225055,0.0,23.97407202133053
10,283,19,24.59912287203528,0.0,2.1054,219.54143715092,0.0,24.04459954252836
10,283,20,22.89873489729449,0.0,1.4145999999999996,195.49683760839162,0.0,22.965403417738635
10,283,21,20.631801273149165,0.0,0.30579999999999957,172.531434190653,0.0,21.727419853713698
10,283,22,18.510279168100755,0.0,0.0,150.80401433693925,0.0,19.78650899850428
10,283,23,16.997743700887806,0.0,0.0,131.01750533843497,0.0,18.16968861666254
10,284,0,16.964602657963958,0.0,0.0,112.84781672177243,0.0,18.134262595365
10,284,1,16.601009943070412,0.0,0.0,94.71355412640743,0.0,17.74560122188179
10,284,2,16.493693046119326,0.0,1.0581999999999998,76.96795290452566,0.0,16.499725329897732
10,284,3,16.870436714882846,0.0,1.5092,60.46822757462793,0.0,16.420349240922338
10,284,4,17.986094610688085,0.0,0.9922000000000002,44.04787833370559,0.0,18.165574142905484
10,284,5,20.59381850601802,0.0,3.7497999999999996,25.882304190800113,0.0,18.00536451738966
10,284,6,22.326181035672327,15.447431126547698,2.858800000000001,7.876939673410456,0.0,4.297113745723812
10,284,7,22.95395931597569,59.595124822040916,4.0873,3.579825927686645,0.0,0.0
10,284,8,23.385256273332274,107.2173394156388,7.073499999999999,3.579825927686645,0.0,0.0
10,284,9,23.75800512014258,142.98107270965178,10.069499999999998,3.579825927686645,0.0,0.0
10,284,10,23.959088477979464,170.15828417202815,6.402999999999999,3.579825927686645,0.0,0.0
10,284,11,23.92955875410132,159.07765120301087,4.2034,3.579825927686644,0.0,0.0
